,shifted
1629-01-01 00:00:00,0.0
1629-01-02 00:00:00,0.0
1629-01-03 00:00:00,0.0
1629-01-04 00:00:00,0.0
1629-01-05 00:00:00,0.0
1629-01-06 00:00:00,0.0
1629-01-07 00:00:00,0.0
1629-01-08 00:00:00,7.0
1629-01-09 00:00:00,0.0
1629-01-10 00:00:00,7.0
1629-01-11 00:00:00,0.0
1629-01-12 00:00:00,0.0
1629-01-13 00:00:00,3.0
1629-01-14 00:00:00,1.0
1629-01-15 00:00:00,0.0
1629-01-16 00:00:00,1.0
1629-01-17 00:00:00,0.0
1629-01-18 00:00:00,0.0
1629-01-19 00:00:00,0.0
1629-01-20 00:00:00,0.0
1629-01-21 00:00:00,0.0
1629-01-22 00:00:00,7.0
1629-01-23 00:00:00,8.0
1629-01-24 00:00:00,0.0
1629-01-25 00:00:00,2.0
1629-01-26 00:00:00,1.0
1629-01-27 00:00:00,5.0
1629-01-28 00:00:00,0.0
1629-01-29 00:00:00,0.0
1629-01-30 00:00:00,6.0
1629-01-31 00:00:00,0.0
1629-02-01 00:00:00,3.0
1629-02-02 00:00:00,0.0
1629-02-03 00:00:00,2.0
1629-02-04 00:00:00,6.0
1629-02-05 00:00:00,0.0
1629-02-06 00:00:00,2.0
1629-02-07 00:00:00,0.0
1629-02-08 00:00:00,2.0
1629-02-09 00:00:00,0.0
1629-02-10 00:00:00,1.0
1629-02-11 00:00:00,0.0
1629-02-12 00:00:00,3.0
1629-02-13 00:00:00,0.0
1629-02-14 00:00:00,1.0
1629-02-15 00:00:00,0.0
1629-02-16 00:00:00,0.0
1629-02-17 00:00:00,2.0
1629-02-18 00:00:00,1.0
1629-02-19 00:00:00,0.0
1629-02-20 00:00:00,0.0
1629-02-21 00:00:00,3.0
1629-02-22 00:00:00,0.0
1629-02-23 00:00:00,0.0
1629-02-24 00:00:00,0.0
1629-02-25 00:00:00,0.0
1629-02-26 00:00:00,3.0
1629-02-27 00:00:00,0.0
1629-02-28 00:00:00,0.0
1629-03-01 00:00:00,0.0
1629-03-02 00:00:00,0.0
1629-03-03 00:00:00,1.0
1629-03-04 00:00:00,0.0
1629-03-05 00:00:00,3.0
1629-03-06 00:00:00,1.0
1629-03-07 00:00:00,0.0
1629-03-08 00:00:00,0.0
1629-03-09 00:00:00,0.0
1629-03-10 00:00:00,0.0
1629-03-11 00:00:00,0.0
1629-03-12 00:00:00,0.0
1629-03-13 00:00:00,0.0
1629-03-14 00:00:00,0.0
1629-03-15 00:00:00,0.0
1629-03-16 00:00:00,5.0
1629-03-17 00:00:00,0.0
1629-03-18 00:00:00,0.0
1629-03-19 00:00:00,0.0
1629-03-20 00:00:00,0.0
1629-03-21 00:00:00,10.0
1629-03-22 00:00:00,4.0
