,S. Agostin,S. Angelo,Angelo Rafael,S. Antonino,S. Aponal,S. Barnaba,S. Basilio,S. Basso,S. Biagio,S. Bartolomeo,S. Canziano,S. Croce,S. Eufemia,S. Felice,S. Fosca,S. Geremia,S. Giacomo dell'Orio,S. Giovanni di Rialto,S. Giovanni Crisostomo,S. Giovanni Battista in Bragora,S. Giovanni Novo,S. Lio,S. Luca,S. Leonardo,S. Marcilian,S. Marco,S. Marcuola,S. Margherita,S. Maria Formosa,S. Maria Maddalena,S. Maria Nova,S. Maria Zobenigo,S. Marina,S. Mattio,S. Maurizio,S. Moisé,S. Nicola,S. Pantalon,S. Paternian,S. Pietro di Castello,S. Polo,S. Samuele,S. Severo,S. Silvestro,S. Simon Grande,S. Sofia,S. Stae,S. Stin,S. Tomà,S. Trovaso,S. Vidal,S. Ziminian,S. Zulian,S. Apostoli
1629-01-01,0,1,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0.0,1.0,0.0,0,0,0,0,0,1,0,0.0,1,0.0,0,0,0,0,0,1,1,0,1,0.0,0.0,0,0,1.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,1,0,0
1629-01-02,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0.0,1,0.0,1,0,1,0,0,0,0,0,0,1.0,0.0,0,0,0.0,0,0.0,1.0,0,0,0.0,1,0.0,1,0,0,0,0
1629-01-03,0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,2.0,0.0,0,0,0,1,0,0,1,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,2,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,0,0,0
1629-01-04,0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0
1629-01-05,0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,2,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,1,0
1629-01-06,0,0,3,0.0,0,0,0.0,1,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0.0,0,0,0,0,0,1,0,0,0,1.0,0.0,0,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,1,0
1629-01-07,0,0,0,0.0,0,1,2.0,0,0,0,0,1,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,0,0,1
1629-01-08,0,0,2,0.0,0,1,0.0,0,0,0,0,1,1,0,0.0,1.0,0.0,0,0,1,1,0,1,0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,2.0,1.0,1,1,2.0,0,0.0,0.0,1,0,0.0,0,0.0,0,0,0,0,1
1629-01-09,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0.0,2.0,0.0,0,1,0,0,0,1,0,0.0,0,0.0,0,0,0,1,0,0,0,0,1,1.0,0.0,0,1,1.0,1,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
1629-01-10,0,0,1,0.0,1,0,0.0,0,0,1,0,0,1,1,1.0,1.0,1.0,0,0,0,0,1,0,1,0.0,1,0.0,0,0,0,0,0,1,0,0,0,0.0,1.0,0,0,0.0,0,0.0,2.0,0,0,0.0,0,0.0,0,0,0,3,1
1629-01-11,0,0,0,0.0,0,0,0.0,0,0,1,0,2,1,1,0.0,0.0,1.0,0,0,0,1,0,0,0,0.0,0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,0,0,0
1629-01-12,0,0,0,0.0,1,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,0,0,0
1629-01-13,0,0,0,0.0,1,0,0.0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0.0,2,0.0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,1,1.0,1,0.0,0.0,0,2,0.0,0,0.0,1,0,0,0,2
1629-01-14,0,0,1,0.0,0,0,0.0,0,0,0,0,1,2,1,0.0,0.0,0.0,1,0,0,0,0,0,1,0.0,2,0.0,0,1,0,0,0,0,0,0,0,1.0,0.0,1,0,1.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
1629-01-15,0,0,0,0.0,0,0,0.0,0,0,0,0,0,2,0,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,1,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
1629-01-16,0,1,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,3.0,0.0,0,1,0.0,0,0.0,0.0,1,1,0.0,0,0.0,1,0,0,0,0
1629-01-17,0,0,1,0.0,0,0,0.0,0,0,0,1,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,1,0
1629-01-18,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,2.0,1.0,0,0,0,0,1,0,0,0.0,1,0.0,0,0,0,0,0,1,0,0,0,0.0,1.0,0,2,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,0,0,0,0
1629-01-19,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0,1,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.0,0,0,2.0,0,0.0,1.0,1,0,0.0,0,0.0,0,0,0,0,0
1629-01-20,0,0,4,0.0,0,0,0.0,0,0,0,0,1,1,1,0.0,0.0,0.0,0,1,1,0,1,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,1.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,1,0.0,0,0,0,0,0
1629-01-21,0,0,0,0.0,1,2,1.0,0,0,0,0,0,0,0,0.0,2.0,1.0,0,0,0,0,0,0,0,0.0,1,0.0,1,1,0,0,0,0,0,0,0,1.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,1,0
1629-01-22,1,0,0,0.0,1,1,0.0,0,1,0,0,1,0,0,0.0,2.0,0.0,0,0,1,0,0,1,0,0.0,0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0,4,0.0,0,0.0,0.0,3,0,0.0,0,0.0,0,0,0,0,2
1629-01-23,0,1,2,0.0,0,0,0.0,1,0,0,0,1,0,0,0.0,1.0,0.0,0,1,0,0,0,1,0,0.0,0,0.0,0,2,1,0,0,0,1,1,1,1.0,0.0,1,2,0.0,0,0.0,0.0,0,2,0.0,0,0.0,1,0,0,0,0
1629-01-24,0,0,1,0.0,0,1,0.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,1,0,2
1629-01-25,0,0,0,0.0,0,0,0.0,0,0,0,1,2,0,0,0.0,1.0,0.0,0,0,0,0,1,0,0,0.0,0,0.0,0,2,0,0,0,0,0,0,0,1.0,1.0,0,0,1.0,1,0.0,0.0,2,1,0.0,0,0.0,0,1,0,0,0
1629-01-26,0,0,1,0.0,0,0,0.0,0,0,0,0,2,2,0,0.0,1.0,2.0,0,0,0,0,1,1,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0.0,1,0.0,0.0,1,0,0.0,0,0.0,0,0,1,0,0
1629-01-27,0,0,1,0.0,1,0,0.0,0,0,0,0,0,0,2,0.0,1.0,1.0,0,0,0,0,0,0,0,0.0,0,0.0,1,3,0,0,0,1,0,0,1,1.0,1.0,0,2,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,2
1629-01-28,0,0,1,0.0,1,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2.0,0.0,0,1,0.0,0,0.0,0.0,1,0,0.0,0,0.0,2,1,0,0,0
1629-01-29,0,1,0,0.0,0,0,1.0,0,0,0,0,0,0,1,0.0,2.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,1.0,0,2,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
1629-01-30,0,2,1,0.0,0,0,0.0,0,0,0,0,2,0,0,0.0,2.0,2.0,0,0,1,0,0,0,0,0.0,0,0.0,1,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,2,0,0.0,0,0.0,1,0,0,1,2
1629-01-31,0,0,0,0.0,3,0,0.0,0,1,0,0,0,1,0,0.0,2.0,0.0,1,0,0,0,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,1.0,0.0,1,0,1.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
1629-02-01,0,0,1,0.0,0,0,0.0,1,0,0,0,1,0,0,0.0,1.0,0.0,0,0,0,0,1,0,0,0.0,1,0.0,0,2,1,0,0,0,0,1,1,0.0,0.0,0,0,0.0,0,0.0,1.0,1,0,0.0,0,0.0,1,0,1,1,0
1629-02-02,0,0,0,0.0,0,0,0.0,0,0,0,0,1,1,0,0.0,3.0,1.0,0,0,0,1,0,0,0,0.0,0,0.0,1,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0.0,1,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
1629-02-03,0,0,1,0.0,0,0,0.0,0,0,0,1,0,1,1,0.0,2.0,0.0,0,0,0,0,1,0,0,0.0,2,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,1,0.0,0,0.0,0.0,0,1,0.0,0,0.0,0,1,0,1,0
1629-02-04,0,0,2,0.0,0,0,0.0,0,0,0,0,1,1,0,0.0,2.0,1.0,0,0,0,1,1,1,0,0.0,3,0.0,1,0,0,0,0,0,0,0,0,3.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,1,0,0,1
1629-02-05,0,0,2,0.0,0,0,0.0,0,0,0,0,1,0,0,0.0,2.0,1.0,0,0,1,0,0,0,0,0.0,0,0.0,0,2,0,0,0,0,0,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,1,0,0.0,0,0.0,0,0,0,0,1
1629-02-06,0,0,1,0.0,0,0,1.0,0,0,0,0,0,1,1,0.0,1.0,1.0,0,0,0,0,0,1,1,0.0,1,0.0,1,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0.0,1,0.0,0.0,0,0,0.0,0,0.0,1,0,0,0,0
1629-02-07,0,0,0,0.0,0,1,0.0,0,0,1,0,0,0,0,0.0,1.0,2.0,0,0,0,0,0,1,0,0.0,0,0.0,0,1,0,0,0,1,0,0,1,1.0,0.0,0,0,0.0,1,0.0,0.0,0,1,0.0,0,0.0,0,0,0,0,0
1629-02-08,0,0,1,0.0,0,0,0.0,0,0,0,0,1,1,0,0.0,2.0,0.0,0,0,0,0,0,1,0,0.0,0,0.0,0,3,0,0,0,0,0,0,0,0.0,3.0,0,0,2.0,0,0.0,0.0,1,0,0.0,0,0.0,0,0,0,1,0
1629-02-09,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0,0.0,0,0,1,0,0,1,0,1,0,1.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0
