,Ih0,r,Kr,br,Z,rr,rf,Kf,df,bh,rh,ph
Ih0,170848.6529449289,-4.178039565436607,4.534089909340126,2.813027150326604,-39.23049509094875,-44.17345112208002,-0.6311907278499466,5.541199004255766,-6.879520751950575,-563.9979676478414,335.28489027460296,-0.000567637534303494
r,-4.178039565436607,0.03734097569020926,0.003569638906696836,0.0009992406529859424,0.007725714831701039,-0.0771518806896374,-0.03265686555071997,0.002690928188583845,0.02772540316921804,-0.3008379803777981,0.18628256506588767,-7.232033332656227e-07
Kr,4.534089909340126,0.003569638906696834,0.00896006358967767,-0.00937132693154792,-0.0020696268335506198,-0.03349604802049434,-0.004130885521563489,-0.00019178753517132816,0.0052210059516106175,-0.01500781905703703,0.11484745543694243,-1.4713710045646854e-06
br,2.813027150326604,0.000999240652985941,-0.00937132693154792,0.31771668599314984,-0.485137813118278,0.03691213398325594,-0.017712925773715683,-0.0010632838624065925,0.01351190809000088,0.6575030026827651,0.023955609695449413,2.45000326342077e-06
Z,-39.23049509094874,0.007725714831701036,-0.002069626833550618,-0.48513781311827814,0.9118179221601651,0.00464002542420305,0.00046651688259499345,0.003118074149193024,-0.051200659898110325,-1.2534263188561716,-0.5484230157762319,-3.9495347740881954e-07
rr,-44.17345112208002,-0.0771518806896374,-0.03349604802049434,0.03691213398325595,0.004640025424203042,0.3339328473637013,0.06050661466205151,-0.01160257894067385,-0.07622943587827502,1.2894059358738947,-1.0821438483767272,6.072093517394186e-06
rf,-0.6311907278499466,-0.03265686555071997,-0.004130885521563489,-0.01771292577371568,0.0004665168825949841,0.0605066146620515,0.054514182858578904,-0.0026625896811541074,-0.020230214995382346,0.3014508942257651,-0.03802189039062032,4.002176916005562e-07
Kf,5.541199004255765,0.002690928188583845,-0.00019178753517132816,-0.0010632838624065938,0.0031180741491930266,-0.01160257894067385,-0.0026625896811541074,0.0015162810559087097,0.0015208114265793408,-0.15783257380180102,0.04671245272015453,3.345044159016138e-08
df,-6.879520751950575,0.02772540316921804,0.0052210059516106175,0.013511908090000876,-0.05120065989811031,-0.076229435878275,-0.02023021499538235,0.0015208114265793404,0.03997011877137911,-0.09813120901996054,0.11249330886188155,-1.2656982634024255e-06
bh,-563.9979676478414,-0.3008379803777981,-0.015007819057037032,0.6575030026827651,-1.2534263188561716,1.2894059358738945,0.3014508942257651,-0.15783257380180102,-0.09813120901996054,17.846862729724478,-6.169097939023594,1.802584113985126e-06
rh,335.28489027460296,0.18628256506588767,0.11484745543694243,0.023955609695449468,-0.5484230157762319,-1.0821438483767272,-0.0380218903906203,0.046712452720154514,0.11249330886188155,-6.169097939023593,13.930991110088197,-1.4867420709653745e-05
ph,-0.000567637534303494,-7.232033332656227e-07,-1.471371004564685e-06,2.45000326342077e-06,-3.9495347740881933e-07,6.072093517394186e-06,4.002176916005562e-07,3.345044159016138e-08,-1.2656982634024257e-06,1.8025841139851251e-06,-1.4867420709653745e-05,2.685218489896509e-10
