R0,max_inc_median,max_inc_std,time_to_max_median,time_to_max_std
1.0,90.0,6.408699444616557,1.0,0.3535533905932738
2.0,95.0,8.675704993996577,15.0,1.6903085094570331
3.0,113.0,6.545172703167252,21.0,3.77728171346236
4.0,129.0,8.007808689023483,25.0,2.49284690951645
5.0,127.0,4.0155946010522525,25.0,2.326094212561969
6.0,120.5,3.7008686239082538,27.5,2.669269563007828
7.0,113.0,5.092010548749033,25.0,1.246423454758225
8.0,112.5,2.03100960115899,36.0,3.854496446637726
9.0,115.0,2.6958963523950885,29.0,1.0606601717798212
10.0,108.5,4.375255094603872,30.0,2.5634797778466227
