,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
0,0,10,8,9,5,14,15,13,8,10,16,13,12,18,19,12,17,21,19,16,17,22,16,22,20,28,28,31,27,35,30,22,25,22,12,13,6,14,16,20,19,17,17,13,12,13,21,17,23,19,21,19,14,19,26,30,23,27,25,25,24,27,17,29,31,31,35,32,29,19,20,28,23,19,30,37,44,37,39,35,47,45,49,61,79,74,85,102,118,136,147,152,173,172,172,194,198,222,236,275,279,309,309,317,336,355,410,410,416,463,470,474,482,491,511,497,448,436,455,473,429,431,411,421,388,386,347,331,357,346,325,344,307,280,292,281,240,221,206,176,140,123,111,99,85,77,69,70,49,57,48,45,49,39,34,27,28,16,20,15,9,13,10,5,7,7,4,2,5,4,8,6,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,8,11,13,8,5,2,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,10,10,13,13,15,15,14,21,21,13,7,10,5,6,5,8,9,14,13,11,8,11,10,8,11,14,15,10,11,15,17,12,20,25,32,37,46,40,45,66,61,71,85,89,89,106,126,138,125,141,155,169,175,181,189,148,149,153,178,164,166,173,179,185,177,193,238,224,252,237,240,253,254,254,263,288,277,283,290,307,267,268,309,283,270,270,254,253,207,220,243,228,220,199,218,177,167,151,181,170,139,135,126,144,133,149,158,161,169,186,167,185,155,145,150,143,147,112,104,112,110,124,156,149,133,120,103,92,112,94,85,85,80,81,69,58,41,46,35,40,38,23,27,32,31,32,29,24,27,35,46,41,34,33,19,16,5,10,4,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,11,10,7,10,12,19,18,11,11,11,11,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,9,8,8,6,4,5,4,5,6,8,12,6,8,6,10,8,10,10,3,11,12,7,8,12,16,16,22,16,15,17,23,13,24,28,43,40,49,46,44,49,66,82,78,79,72,93,89,110,110,117,149,166,177,195,208,174,174,195,214,196,200,205,184,182,178,210,201,199,215,234,203,233,234,235,225,245,244,265,230,238,229,233,240,209,196,179,191,183,173,189,200,215,244,252,263,234,246,228,251,260,238,242,240,248,241,260,274,262,279,276,250,245,233,239,240,209,224,200,179,192,208,192,167,183,176,162,154,141,149,140,127,111,90,109,116,117,98,93,70,70,54,50,39,55,51,55,47,60,55,55,38,26,37,35,41,33,22,29,25,18,12,11,14,5,3,0,0,2,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,11,8,8,12,11,9,16,13,8,15,11,11,10,9,16,22,17,11,13,11,15,13,12,11,7,7,11,14,25,22,17,22,16,24,28,32,43,41,65,61,66,58,56,60,53,63,65,67,62,70,67,83,88,97,100,114,122,130,140,140,142,173,160,139,162,142,157,144,161,163,188,209,229,251,226,231,248,269,254,255,229,253,232,252,236,226,202,199,183,188,193,183,211,200,195,162,153,143,165,167,173,200,202,210,215,242,260,252,278,275,254,275,253,244,235,235,228,186,200,174,157,179,178,170,157,155,130,127,129,109,93,73,67,75,67,64,53,42,51,60,55,61,54,65,65,58,63,70,94,80,83,58,62,48,46,45,39,43,33,37,33,37,28,25,31,30,28,24,15,13,10,5,5,3,6,7,9,3,7,5,7,6,5,8,7,5,7,2,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,10,15,20,23,27,29,29,26,33,32,37,44,45,46,49,59,53,51,31,47,36,42,38,45,40,50,42,46,38,46,65,60,62,67,56,50,54,52,43,45,51,41,45,44,41,44,45,44,39,42,47,42,42,61,52,60,70,72,87,70,84,95,101,123,116,114,129,143,125,111,124,101,104,108,110,130,115,142,112,113,114,128,147,151,141,173,166,180,185,174,173,171,183,191,156,171,167,136,146,140,164,170,176,190,197,225,218,205,243,230,220,222,215,202,196,196,183,200,184,178,166,176,178,179,201,204,179,197,174,187,176,167,190,178,167,176,154,160,142,138,133,134,143,152,150,165,169,153,154,156,154,144,136,121,124,96,105,127,121,95,97,95,95,97,94,88,73,66,69,53,53,51,50,27,26,25,27,33,38,42,27,24,22,24,20,17,8,8,5,4,5,3,4,5,7,5,8,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,10,13,15,6,11,8,9,8,7,4,6,2,5,4,2,2,2,1,1,4,6,2,5,6,6,4,6,14,13,16,23,20,19,17,19,16,25,22,16,14,8,6,4,4,3,4,5,6,13,16,10,17,21,23,19,19,28,33,23,23,28,11,20,15,17,22,26,22,23,19,17,15,14,9,6,8,4,2,2,4,2,7,6,11,7,5,5,7,12,23,21,21,17,26,28,34,40,31,30,42,39,52,49,59,66,70,48,63,47,53,59,54,67,83,87,71,83,96,85,99,106,116,114,131,121,141,167,159,188,183,173,188,185,227,242,252,293,289,315,354,367,348,348,362,359,360,337,331,383,365,378,360,385,366,363,349,345,311,318,311,338,316,276,268,265,275,257,228,224,211,205,174,157,129,124,87,97,81,85,76,67,64,61,45,60,60,68,66,59,59,73,65,49,34,36,24,12,15,18,18,22,20,23,30,24,28,22,15,17,11,13,9,11,11,11,12,21,13,6,6,1,2,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,10,12,10,17,16,15,19,21,27,27,32,22,34,45,29,35,22,17,20,22,23,23,28,29,26,28,24,20,28,39,42,45,42,50,36,49,41,44,50,54,48,41,61,52,62,61,70,90,81,109,122,139,136,135,123,170,156,148,181,196,224,235,261,240,286,281,317,315,329,322,304,281,312,328,330,327,348,369,365,379,354,362,396,375,372,402,373,406,372,362,360,332,347,311,298,261,278,258,227,195,183,171,178,186,157,167,185,188,182,186,188,181,158,127,131,148,121,109,108,96,85,80,79,75,72,85,81,83,68,69,67,66,79,53,74,55,45,49,45,40,51,46,47,43,34,29,24,14,9,14,9,14,12,11,7,14,11,9,12,7,12,11,2,6,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,9,14,12,14,12,13,8,10,12,15,22,8,21,21,22,23,22,29,26,20,26,35,38,50,42,39,44,46,43,42,45,43,56,64,60,70,70,82,95,102,105,103,79,84,93,104,124,117,138,135,146,127,124,146,148,151,137,142,163,184,191,229,225,239,271,275,307,309,322,296,304,307,295,311,328,331,364,364,331,322,290,279,283,280,259,242,206,233,244,247,253,256,251,264,279,242,233,241,228,237,242,203,224,198,195,232,236,220,210,185,181,146,129,134,127,130,121,141,130,129,121,106,114,97,69,56,52,49,43,43,34,23,27,16,14,13,10,13,11,10,11,12,9,10,4,4,6,7,6,3,1,4,6,7,5,1,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
